Sample,Name,Kennel,Canine,Protein
1,Lace,ALD,GSD,361.119412282258
2,Prime,ALD,GSD,354.041309122756
3,Destiny,KV,GSD,1859.29643291988
4,Minka,Bargo,Dingo,476.225600215669
5,Nooka, Bargo,Dingo,1121.25891306966
6,Destiny,KV,GSD,1240.91890026464
7,42,Bargo,Dingo,1576.30238682264
8,Round,KV,GSD,2123.39665985654
9,Miska,KV,GSD,925.719008592721
10,Krunyah,Bargo,Dingo,1116.03785680502
11,Apari,Bargo,Dingo,1801.8623516483
12,Kareela,Bargo,Dingo,1444.5383795422
13,Cruz,KV,GSD,521.046228984403
14,Ruzza,KV,GSD,1654.37602881427
16,Gilli,Bargo,Dingo,1520.59365996992
19,Type,Bargo,Dingo,1494.99729917221
21,Arrow,KV,GSD,444.575296526946
23,Gina,KV,GSD,610.842528529142
24,Gilli,Bargo,Dingo,517.930476207479
25,Cora,Bargo,Dingo,186.921821114561
26,Dana,KV,GSD,699.692446743042
27,Modesty,ALD,GSD,141.607116228334
28,Topla,KV,GSD,1032.77182296804
29,Nooka,Bargo,Dingo,653.436769242767
30,Bea,KV,GSD,571.509667567419
31,Adele,KV,GSD,503.255601390235
32,Goyra,Bargo,Dingo,830.106302806592
33,Kinda,Bargo,Dingo,547.663506021738
34,Sandy,Pure,Dingo,1614.94971080404
35,Nala,"
",GSD,1067.79072816656
36,Eggi,Pure,Dingo,706.282463074796
37,Sandy,Pure,Dingo,1275.05292403256
38,Gubbah,Bargo,Dingo,626.408661474796
39,Allure,Bargo,Dingo,907.942653640272
40,Pinchi,Bargo,Dingo,337.605703854403
41,Cooing,Bargo,Dingo,606.204026672098
42,Allira,Bargo,Dingo,532.048740714749
43,Misha,KV,GSD,317.976339144795
44,Adele,KV,GSD,577.533375669682
45,Pinchi,KV,GSD,332.80019553458
46,Gubbah,Bargo,Dingo,825.666600779421
47,Gubbah,Bargo,Dingo,779.756326048583
48,Ruby,KV,GSD,684.391780733991
49,Kareela,Bargo,Dingo,239.191038875799
50,Cruz,KV,GSD,301.203572782354
51,Gilli,Bargo,Dingo,654.653628054709
52,Dana,KV,GSD,1423.13724438345
53,Munko,Bargo,Dingo,371.421111590809
54,Typa,Bargo,Dingo,296.789686897501
55,Kora,Bargo,Dingo,574.955540561816
56,Round,KV,GSD,1136.93130882007
57,Kinta,Bargo,Dingo,747.478774881495
58,Gina,KV,GSD,932.172528327268
59,Cooing,Bargo,Dingo,993.186331471782
60,Arrow,KV,GSD,549.156310818842
61,Apari,Bargo,Dingo,337.163803579858
